user,items[0].itemName,items[1].itemName,items[2].itemName,items[3].itemName,items[4].itemName
0,Plate,,,,
0,Chocolate Bar,Table,,,
0,Computer Mouse,Stew,Keyboard,,
0,Onion,Broccoli,Stew,,
0,Table,Plate,Onion,,
1,Table,Chocolate Bar,Plate,,
1,Stew,Chocolate Bar,Plate,Broccoli,
1,Dog Food,,,,
1,Table,Onion,Broccoli,,
1,Stew,Onion,Chocolate Bar,,
2,Plate,Table,Chocolate Bar,Computer Mouse,
2,Chocolate Bar,Plate,Table,Stew,
2,Table,Stew,Broccoli,,
2,Broccoli,Onion,,,
2,Broccoli,Onion,Table,Chocolate Bar,Plate
3,Tucan,Dog,Dog Food,,
3,Dog Food,Cat Food,Tucan,Dog,Cat
3,Dog Food,Cat Food,Tucan,Cat,
3,Dog Food,Tucan,Horse,Cat Food,Cat
3,Cat Food,,,,
4,Horse,,,,
4,Computer Mouse,Onion,Chocolate Bar,,
4,Chocolate Bar,Broccoli,Onion,,
4,Computer Mouse,Broccoli,Stew,Chocolate Bar,
4,Stew,,,,
5,Dog Food,Cat Food,Cat,,
5,Cat Food,,,,
5,Horse,Cat Food,Dog Food,,
5,Dog Food,Cat,Cat Food,,
5,Cat Food,Dog,Dog Food,,
6,Plate,,,,
6,Onion,Broccoli,,,
6,Horse,,,,
6,Plate,Table,Stew,Chocolate Bar,Onion
6,Stew,Table,Plate,Broccoli,Onion
7,Chocolate Bar,Plate,Table,Computer Mouse,
7,Chocolate Bar,Plate,Computer Mouse,,
7,Cat Food,,,,
7,Chocolate Bar,,,,
7,Stew,Keyboard,Computer Mouse,Onion,
8,Plate,Computer Mouse,Chocolate Bar,,
8,Keyboard,Computer Mouse,,,
8,Keyboard,,,,
8,Keyboard,Plate,Table,Chocolate Bar,Computer Mouse
8,Plate,,,,
9,Stew,Chocolate Bar,,,
9,Broccoli,Plate,,,
9,Tucan,Cat Food,,,
9,Plate,Broccoli,Table,Onion,Chocolate Bar
9,Plate,,,,
10,Onion,Table,,,
10,Table,Onion,Stew,Plate,
10,Chocolate Bar,Table,,,
10,Cat Food,,,,
10,Dog Food,Horse,Dog,,
11,Stew,,,,
11,Table,Broccoli,Plate,Stew,Chocolate Bar
11,Broccoli,Stew,Plate,Table,
11,Broccoli,Plate,,,
11,Table,,,,
12,Chocolate Bar,Keyboard,Broccoli,Computer Mouse,Stew
12,Chocolate Bar,Stew,,,
12,Plate,Chocolate Bar,Broccoli,,
12,Broccoli,Plate,Stew,,
12,Table,Plate,Broccoli,,
13,Computer Mouse,,,,
13,Computer Mouse,Keyboard,Chocolate Bar,Onion,
13,Onion,Chocolate Bar,,,
13,Onion,,,,
13,Broccoli,,,,
14,Keyboard,Chocolate Bar,Plate,Table,
14,Table,Chocolate Bar,Plate,Keyboard,Computer Mouse
14,Chocolate Bar,Keyboard,Plate,Table,Computer Mouse
14,Keyboard,Table,Plate,Computer Mouse,Chocolate Bar
14,Table,Chocolate Bar,Computer Mouse,Keyboard,Plate
15,Table,Plate,,,
15,Stew,Chocolate Bar,Broccoli,,
15,Chocolate Bar,Stew,,,
15,Broccoli,,,,
15,Stew,Onion,Chocolate Bar,,
16,Stew,Table,Plate,Broccoli,Onion
16,Broccoli,Table,Plate,,
16,Table,Plate,Onion,Chocolate Bar,Broccoli
16,Table,Plate,Stew,,
16,Table,Plate,Chocolate Bar,Onion,
17,Dog Food,Tucan,Horse,,
17,Chocolate Bar,,,,
17,Onion,Chocolate Bar,,,
17,Keyboard,Chocolate Bar,Plate,Computer Mouse,
17,Chocolate Bar,Broccoli,Keyboard,Onion,Computer Mouse
18,Chocolate Bar,Plate,Broccoli,,
18,Table,Chocolate Bar,Plate,Broccoli,
18,Chocolate Bar,,,,
18,Table,Plate,Onion,Broccoli,
18,Plate,,,,
19,Dog Food,Tucan,Horse,,
19,Cat Food,Dog Food,Tucan,Horse,Cat
19,Dog,Dog Food,Cat Food,Tucan,
19,Tucan,Dog,,,
19,Dog,Tucan,Cat,Cat Food,Dog Food
20,Chocolate Bar,Table,Stew,Plate,Onion
20,Stew,Broccoli,Chocolate Bar,,
20,Plate,Table,Broccoli,Onion,
20,Chocolate Bar,Plate,,,
20,Broccoli,Plate,,,
21,Broccoli,Chocolate Bar,Stew,Computer Mouse,
21,Dog Food,Dog,Tucan,Cat,
21,Tucan,,,,
21,Dog Food,Cat,Dog,Tucan,
21,Dog Food,Cat Food,,,
22,Broccoli,Table,Plate,,
22,Plate,Table,Onion,Broccoli,
22,Stew,Onion,,,
22,Table,Plate,Keyboard,Computer Mouse,Chocolate Bar
22,Stew,Table,Onion,,
23,Cat Food,Dog Food,Tucan,,
23,Cat,Cat Food,Tucan,,
23,Dog Food,Dog,Cat Food,Horse,Cat
23,Tucan,Horse,Cat Food,,
23,Cat Food,Dog,,,
24,Keyboard,,,,
24,Table,Computer Mouse,Plate,Chocolate Bar,Keyboard
24,Table,,,,
24,Table,Plate,,,
24,Computer Mouse,Table,Chocolate Bar,Plate,Keyboard
25,Chocolate Bar,Keyboard,Computer Mouse,,
25,Chocolate Bar,Onion,Keyboard,Broccoli,Stew
25,Chocolate Bar,,,,
25,Chocolate Bar,Onion,Computer Mouse,Stew,Keyboard
25,Stew,Chocolate Bar,,,
26,Chocolate Bar,Broccoli,Keyboard,Computer Mouse,Onion
26,Broccoli,,,,
26,Keyboard,,,,
26,Cat,Dog,Tucan,Cat Food,
26,Onion,Chocolate Bar,Broccoli,,
27,Cat,Cat Food,,,
27,Keyboard,Plate,,,
27,Keyboard,,,,
27,Keyboard,Table,Computer Mouse,Plate,
27,Computer Mouse,Keyboard,Plate,Chocolate Bar,
28,Plate,Table,Onion,Stew,Chocolate Bar
28,Plate,Table,Chocolate Bar,,
28,Broccoli,Plate,,,
28,Table,Onion,Plate,,
28,Cat,Cat Food,Dog Food,Horse,Dog
29,Table,Onion,Chocolate Bar,Stew,
29,Onion,,,,
29,Broccoli,Chocolate Bar,Onion,Table,
29,Dog,Dog Food,Cat,Tucan,Cat Food
29,Chocolate Bar,Plate,Table,,
30,Table,Onion,,,
30,Chocolate Bar,Table,Stew,Broccoli,
30,Table,,,,
30,Onion,Plate,Table,,
30,Onion,,,,
31,Table,Plate,,,
31,Stew,,,,
31,Chocolate Bar,,,,
31,Plate,Broccoli,Table,Chocolate Bar,Stew
31,Table,,,,
32,Table,Stew,,,
32,Plate,Stew,,,
32,Plate,Keyboard,,,
32,Chocolate Bar,,,,
32,Chocolate Bar,Plate,Table,Stew,Onion
33,Table,Computer Mouse,Chocolate Bar,,
33,Plate,Computer Mouse,Table,Keyboard,Chocolate Bar
33,Onion,Stew,Computer Mouse,,
33,Plate,Keyboard,,,
33,Table,Plate,Computer Mouse,Keyboard,Chocolate Bar
34,Cat Food,Horse,Dog,,
34,Chocolate Bar,Plate,Table,Keyboard,Computer Mouse
34,Dog,Cat Food,,,
34,Tucan,Cat Food,Dog,Dog Food,Horse
34,Cat Food,,,,
35,Cat Food,,,,
35,Tucan,Cat Food,Horse,Dog Food,
35,Horse,Dog Food,Cat,,
35,Dog Food,Cat Food,,,
35,Chocolate Bar,Computer Mouse,Onion,Keyboard,
36,Plate,Chocolate Bar,,,
36,Dog,Cat,Horse,,
36,Table,Onion,,,
36,Plate,Table,Chocolate Bar,Onion,
36,Chocolate Bar,Table,,,
37,Tucan,,,,
37,Tucan,Cat Food,Dog,Dog Food,Cat
37,Cat Food,Dog Food,,,
37,Stew,Broccoli,Plate,Onion,Chocolate Bar
37,Table,Stew,Plate,,
38,Dog Food,Cat Food,Horse,Cat,
38,Cat,Cat Food,,,
38,Cat Food,Tucan,Dog Food,Horse,Cat
38,Dog Food,Dog,Cat Food,Horse,Tucan
38,Cat Food,Dog Food,Dog,,
39,Keyboard,Broccoli,Chocolate Bar,Stew,Onion
39,Stew,Keyboard,,,
39,Computer Mouse,Keyboard,Broccoli,Chocolate Bar,Onion
39,Stew,Chocolate Bar,Keyboard,,
39,Computer Mouse,Stew,,,
40,Computer Mouse,Table,,,
40,Table,,,,
40,Computer Mouse,Chocolate Bar,Plate,,
40,Plate,Table,,,
40,Table,,,,
41,Plate,Table,Keyboard,Computer Mouse,
41,Table,Chocolate Bar,Keyboard,Computer Mouse,
41,Computer Mouse,Keyboard,,,
41,Plate,,,,
41,Computer Mouse,Keyboard,,,
42,Plate,Broccoli,Stew,,
42,Broccoli,Onion,Stew,Chocolate Bar,
42,Cat,Dog Food,,,
42,Computer Mouse,Chocolate Bar,,,
42,Stew,,,,
43,Cat Food,Cat,Tucan,,
43,Dog,,,,
43,Cat Food,Dog,Dog Food,Horse,
43,Tucan,,,,
43,Dog Food,Cat Food,,,
44,Table,Plate,,,
44,Table,Stew,Onion,,
44,Onion,Chocolate Bar,Stew,Broccoli,
44,Table,Chocolate Bar,Broccoli,Plate,
44,Onion,Broccoli,Table,,
45,Chocolate Bar,Broccoli,Onion,,
45,Table,Stew,,,
45,Keyboard,Onion,,,
45,Chocolate Bar,Stew,Broccoli,,
45,Chocolate Bar,Computer Mouse,Onion,Keyboard,Broccoli
46,Plate,Table,Stew,Broccoli,Chocolate Bar
46,Plate,Chocolate Bar,Table,,
46,Onion,Plate,Table,Broccoli,Chocolate Bar
46,Stew,Plate,Onion,Broccoli,
46,Plate,Stew,Table,,
47,Chocolate Bar,,,,
47,Chocolate Bar,Broccoli,,,
47,Broccoli,Onion,Chocolate Bar,Computer Mouse,Keyboard
47,Onion,Keyboard,,,
47,Computer Mouse,Keyboard,,,
48,Plate,Chocolate Bar,Computer Mouse,Keyboard,Table
48,Stew,Computer Mouse,Keyboard,Chocolate Bar,
48,Onion,Broccoli,,,
48,Chocolate Bar,Broccoli,,,
48,Table,Keyboard,Chocolate Bar,,
49,Stew,Table,Broccoli,,
49,Horse,Cat Food,Dog Food,,
49,Dog Food,Cat Food,,,
49,Cat Food,Tucan,Dog,,
49,Dog Food,Horse,,,
50,Plate,Computer Mouse,Keyboard,Table,
50,Computer Mouse,Chocolate Bar,Plate,,
50,Computer Mouse,Plate,Chocolate Bar,Table,
50,Dog,,,,
50,Onion,Chocolate Bar,Computer Mouse,,
51,Plate,Keyboard,Computer Mouse,,
51,Cat Food,Dog Food,Tucan,Horse,Cat
51,Dog Food,,,,
51,Table,Plate,Computer Mouse,,
51,Keyboard,Plate,Chocolate Bar,Computer Mouse,Table
52,Chocolate Bar,Keyboard,Plate,Table,
52,Cat,Dog,Tucan,,
52,Plate,Table,Chocolate Bar,Keyboard,
52,Chocolate Bar,Computer Mouse,Keyboard,Stew,Onion
52,Chocolate Bar,Table,,,
53,Keyboard,,,,
53,Chocolate Bar,Table,Keyboard,Computer Mouse,Plate
53,Plate,Keyboard,Chocolate Bar,Table,Computer Mouse
53,Plate,Table,Keyboard,Chocolate Bar,
53,Onion,,,,
54,Plate,Stew,,,
54,Dog,Cat Food,Horse,Cat,
54,Dog Food,Dog,Cat,Horse,Tucan
54,Horse,Tucan,Dog Food,Dog,
54,Cat Food,,,,
55,Plate,Broccoli,,,
55,Onion,Plate,Broccoli,Table,
55,Broccoli,,,,
55,Table,Plate,,,
55,Broccoli,Stew,Onion,Table,Chocolate Bar
56,Dog Food,Cat,Cat Food,,
56,Stew,,,,
56,Plate,Computer Mouse,Keyboard,Table,Chocolate Bar
56,Onion,Table,Stew,Chocolate Bar,
56,Table,Plate,Onion,,
57,Cat Food,Horse,,,
57,Chocolate Bar,Table,,,
57,Cat Food,Dog Food,,,
57,Horse,Dog Food,Cat,Cat Food,Tucan
57,Keyboard,Stew,Chocolate Bar,Onion,
58,Chocolate Bar,Onion,Broccoli,,
58,Stew,Plate,Broccoli,,
58,Chocolate Bar,,,,
58,Broccoli,,,,
58,Chocolate Bar,,,,
59,Table,Plate,Onion,Chocolate Bar,
59,Broccoli,Chocolate Bar,Table,,
59,Stew,Chocolate Bar,Broccoli,Plate,
59,Table,Plate,,,
59,Table,Plate,Stew,Broccoli,Onion
60,Horse,Dog,,,
60,Dog,,,,
60,Cat,Horse,,,
60,Dog,Dog Food,,,
60,Table,,,,
61,Stew,Chocolate Bar,Computer Mouse,,
61,Dog,Cat,,,
61,Dog Food,,,,
61,Dog Food,Cat Food,Horse,,
61,Dog Food,Cat Food,Cat,,
62,Cat Food,Tucan,Cat,,
62,Stew,Chocolate Bar,Broccoli,Onion,Computer Mouse
62,Onion,,,,
62,Chocolate Bar,Broccoli,Onion,Plate,Stew
62,Table,Onion,Stew,Plate,Chocolate Bar
63,Onion,Chocolate Bar,Broccoli,,
63,Chocolate Bar,Computer Mouse,Keyboard,,
63,Broccoli,Computer Mouse,,,
63,Chocolate Bar,Broccoli,Computer Mouse,Keyboard,Stew
63,Stew,,,,
64,Stew,Table,,,
64,Horse,Dog,Tucan,Cat Food,Dog Food
64,Cat,,,,
64,Dog Food,Horse,Cat Food,Cat,
64,Cat Food,Dog,Dog Food,,
65,Stew,,,,
65,Table,Plate,Broccoli,,
65,Chocolate Bar,Keyboard,,,
65,Stew,Chocolate Bar,Onion,Broccoli,Table
65,Onion,,,,
66,Chocolate Bar,Plate,,,
66,Chocolate Bar,Plate,Onion,Stew,Table
66,Tucan,,,,
66,Dog Food,Cat,Cat Food,,
66,Cat Food,Dog,Dog Food,,
67,Horse,,,,
67,Cat Food,,,,
67,Cat,,,,
67,Dog Food,,,,
67,Cat Food,,,,
68,Computer Mouse,Chocolate Bar,Stew,Keyboard,
68,Chocolate Bar,Keyboard,Onion,,
68,Chocolate Bar,Computer Mouse,Broccoli,Onion,Stew
68,Keyboard,Chocolate Bar,,,
68,Cat Food,Dog Food,Dog,Cat,Horse
69,Plate,Table,,,
69,Broccoli,Onion,Table,Chocolate Bar,Plate
69,Onion,Plate,Chocolate Bar,Stew,Table
69,Stew,Plate,Onion,Table,
69,Table,Chocolate Bar,Stew,Onion,
70,Onion,Broccoli,Stew,Table,Plate
70,Plate,Table,Broccoli,Chocolate Bar,
70,Dog Food,,,,
70,Onion,Broccoli,,,
70,Table,Chocolate Bar,,,
71,Dog Food,Horse,Cat Food,,
71,Cat,Tucan,Cat Food,Dog Food,
71,Horse,Tucan,Dog Food,Dog,
71,Table,Plate,Broccoli,Stew,Onion
71,Cat Food,Dog Food,Tucan,Dog,Cat
72,Table,,,,
72,Table,Plate,Broccoli,Onion,Stew
72,Broccoli,Plate,Table,Stew,Onion
72,Onion,Table,Broccoli,,
72,Stew,Plate,Broccoli,Onion,Table
73,Table,Broccoli,Stew,Plate,
73,Onion,Table,,,
73,Plate,Stew,,,
73,Broccoli,Chocolate Bar,Onion,,
73,Chocolate Bar,,,,
74,Table,Chocolate Bar,Keyboard,,
74,Table,,,,
74,Table,Computer Mouse,Plate,Keyboard,
74,Table,Plate,Keyboard,,
74,Table,Chocolate Bar,Plate,,
75,Chocolate Bar,Table,Computer Mouse,Keyboard,
75,Keyboard,,,,
75,Keyboard,Plate,Computer Mouse,Chocolate Bar,
75,Keyboard,Plate,Table,Chocolate Bar,Computer Mouse
75,Keyboard,Table,Plate,Computer Mouse,
76,Computer Mouse,Table,,,
76,Chocolate Bar,,,,
76,Computer Mouse,Table,Keyboard,,
76,Plate,Keyboard,Table,Computer Mouse,Chocolate Bar
76,Table,Chocolate Bar,Computer Mouse,,
77,Table,Computer Mouse,Plate,Keyboard,
77,Plate,,,,
77,Chocolate Bar,Table,Computer Mouse,Keyboard,
77,Chocolate Bar,Keyboard,Table,,
77,Plate,Table,Chocolate Bar,Keyboard,Computer Mouse
78,Cat,Horse,Dog Food,Tucan,Cat Food
78,Table,Plate,Computer Mouse,,
78,Dog Food,Tucan,,,
78,Cat Food,Dog Food,Dog,Horse,
78,Horse,Cat,Dog Food,Tucan,Cat Food
79,Tucan,Dog,Dog Food,Cat Food,
79,Horse,Tucan,,,
79,Cat Food,Cat,Dog Food,,
79,Cat Food,Cat,Tucan,,
79,Cat,Horse,Tucan,,
80,Keyboard,Computer Mouse,Table,Chocolate Bar,Plate
80,Tucan,Dog,Cat Food,Dog Food,Cat
80,Plate,Computer Mouse,,,
80,Computer Mouse,Keyboard,,,
80,Plate,Computer Mouse,Chocolate Bar,Table,
81,Stew,Keyboard,Computer Mouse,Chocolate Bar,Broccoli
81,Chocolate Bar,Broccoli,,,
81,Stew,Keyboard,Chocolate Bar,Computer Mouse,Onion
81,Keyboard,Onion,,,
81,Chocolate Bar,,,,
82,Table,Onion,Broccoli,,
82,Chocolate Bar,Plate,Table,Stew,Onion
82,Stew,Broccoli,Plate,Table,Chocolate Bar
82,Table,Stew,Chocolate Bar,,
82,Plate,Table,Stew,Onion,Chocolate Bar
83,Cat,Dog,Dog Food,,
83,Cat Food,Dog Food,Dog,,
83,Plate,Onion,Broccoli,Table,
83,Dog,Cat Food,Tucan,Cat,
83,Tucan,Dog Food,Horse,Cat Food,
84,Keyboard,Broccoli,Computer Mouse,Chocolate Bar,Stew
84,Broccoli,Chocolate Bar,Stew,,
84,Stew,Chocolate Bar,,,
84,Chocolate Bar,Computer Mouse,Keyboard,Broccoli,
84,Dog Food,,,,
85,Cat Food,Dog,Tucan,Cat,
85,Dog Food,Cat Food,Dog,Horse,
85,Cat Food,Cat,,,
85,Cat,Cat Food,,,
85,Tucan,Dog Food,,,
86,Dog,Dog Food,Cat Food,,
86,Horse,Cat Food,Tucan,Cat,
86,Dog,,,,
86,Broccoli,,,,
86,Cat,Cat Food,Horse,Tucan,
87,Cat,Dog Food,Dog,,
87,Dog,,,,
87,Dog Food,Tucan,Horse,,
87,Tucan,Dog Food,Cat,,
87,Tucan,,,,
88,Cat Food,,,,
88,Dog Food,Cat Food,Horse,Tucan,Cat
88,Cat,Horse,Cat Food,,
88,Dog,,,,
88,Dog Food,Cat Food,,,
89,Chocolate Bar,Plate,Onion,,
89,Plate,Table,Broccoli,Onion,
89,Table,Plate,Stew,,
89,Broccoli,Plate,Stew,,
89,Onion,Table,Plate,Chocolate Bar,
90,Tucan,Dog Food,Cat,,
90,Cat,Dog Food,,,
90,Cat Food,Dog Food,,,
90,Dog Food,,,,
90,Tucan,Dog Food,Dog,,
91,Cat,Tucan,Cat Food,Dog Food,Horse
91,Dog Food,Tucan,Cat Food,Cat,
91,Cat Food,Tucan,Horse,,
91,Dog,,,,
91,Dog Food,Cat,,,
92,Chocolate Bar,Keyboard,Onion,Computer Mouse,Broccoli
92,Keyboard,Onion,Stew,Computer Mouse,
92,Onion,Stew,,,
92,Computer Mouse,Chocolate Bar,Onion,Broccoli,Stew
92,Keyboard,Broccoli,Stew,,
93,Chocolate Bar,,,,
93,Plate,Chocolate Bar,Table,,
93,Chocolate Bar,Stew,,,
93,Keyboard,,,,
93,Chocolate Bar,Stew,Plate,Onion,
94,Chocolate Bar,Broccoli,Plate,,
94,Broccoli,,,,
94,Plate,Onion,,,
94,Chocolate Bar,Stew,Plate,Table,Onion
94,Broccoli,Table,Onion,Stew,Chocolate Bar
95,Keyboard,,,,
95,Computer Mouse,Chocolate Bar,Keyboard,Broccoli,
95,Broccoli,,,,
95,Chocolate Bar,,,,
95,Stew,,,,
96,Computer Mouse,Plate,Table,,
96,Onion,Broccoli,Chocolate Bar,Table,Stew
96,Chocolate Bar,Computer Mouse,,,
96,Onion,Table,Chocolate Bar,Plate,Stew
96,Table,Plate,Stew,Chocolate Bar,
97,Stew,,,,
97,Stew,Computer Mouse,Chocolate Bar,,
97,Chocolate Bar,Broccoli,Keyboard,,
97,Broccoli,Computer Mouse,Chocolate Bar,Keyboard,
97,Keyboard,,,,
98,Plate,Computer Mouse,Keyboard,Table,
98,Table,,,,
98,Broccoli,Table,Stew,Chocolate Bar,
98,Computer Mouse,Chocolate Bar,Keyboard,Table,
98,Plate,Table,,,
99,Broccoli,Table,,,
99,Broccoli,,,,
99,Plate,Chocolate Bar,Table,,
99,Stew,,,,
99,Stew,Onion,Broccoli,Plate,Table
100,Chocolate Bar,Stew,Onion,Table,
100,Broccoli,Plate,,,
100,Table,Onion,Plate,Stew,
100,Table,Plate,,,
100,Stew,Broccoli,Chocolate Bar,Table,Plate
101,Table,Onion,Stew,,
101,Broccoli,Table,Plate,Chocolate Bar,Stew
101,Broccoli,Plate,Onion,Table,
